
2024/10/23 (13:07:53) | ===> btop++ v.1.4.0
2024/10/23 (13:07:53) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/11/10 (05:31:44) | ===> btop++ v.1.4.0
2024/11/10 (05:31:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/10 (05:31:54) | ===> btop++ v.1.4.0
2024/11/10 (05:31:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (09:21:05) | ===> btop++ v.1.4.0
2024/11/12 (09:21:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/20 (18:16:24) | ===> btop++ v.1.4.0
2024/11/20 (18:16:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/23 (05:17:25) | ===> btop++ v.1.4.0
2024/11/23 (05:17:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (09:20:46) | ===> btop++ v.1.4.0
2024/12/05 (09:20:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (01:20:14) | ===> btop++ v.1.4.0
2024/12/06 (01:20:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/06 (14:05:29) | ===> btop++ v.1.4.0
2024/12/06 (14:05:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/07 (02:27:19) | ===> btop++ v.1.4.0
2024/12/07 (02:27:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (15:57:46) | ===> btop++ v.1.4.0
2024/12/08 (15:57:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/08 (15:58:35) | ===> btop++ v.1.4.0
2024/12/08 (15:58:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (15:23:15) | ===> btop++ v.1.4.0
2024/12/09 (15:23:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (16:08:21) | ===> btop++ v.1.4.0
2024/12/09 (16:08:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:01:29) | ===> btop++ v.1.4.0
2024/12/10 (00:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (00:15:28) | ===> btop++ v.1.4.0
2024/12/10 (00:15:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (19:10:59) | ===> btop++ v.1.4.0
2024/12/12 (19:10:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (00:15:46) | ===> btop++ v.1.4.0
2024/12/13 (00:15:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (00:19:12) | ===> btop++ v.1.4.0
2024/12/13 (00:19:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (10:01:06) | ===> btop++ v.1.4.0
2024/12/18 (10:01:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (10:51:08) | ===> btop++ v.1.4.0
2024/12/18 (10:51:08) | WARNING: Intel GPU: Failed to initialize PMU
